Primary Symptom,Q1,Q2,Q3,Q4,Q5,Q6,Urgency,Recommended Test 1,Test 1 Description,Recommended Test 2,Test 2 Description,Recommended Test 3,Test 3 Description,Recommended Test 4,Test 4 Description,Recommended Test 5,Test 5 Description,Recommended Test 6,Test 6 Description
Chest Pain,0,1,0,0,1,0,Routine,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.
Chest Pain,0,2,0,0,0,0,Soon,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.,,,,
Chest Pain,0,3,0,1,1,0,Urgent,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.
Chest Pain,1,2,0,0,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.
Chest Pain,0,2,0,1,1,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.
Chest Pain,1,1,1,0,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,CT Coronary Angiography,A detailed CT scan that creates 3D images of the arteries around your heart to detect blockages.
Chest Pain,0,2,1,0,0,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Chest Pain,0,1,0,1,0,1,Routine,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Chest Pain,0,1,0,1,1,0,Routine,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,CT Coronary Angiography,A detailed CT scan that creates 3D images of the arteries around your heart to detect blockages.
Chest Pain,0,2,0,1,0,1,Soon,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Lipid Panel,A blood test that measures your cholesterol and triglyceride levels to assess your risk of heart disease.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Chest Pain,1,1,0,0,0,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Stress Test (TMT),You walk on a treadmill while your heart is monitored to check how it performs under physical stress.,Troponin Blood Test,A blood test that detects proteins released when heart muscle is damaged — key marker for heart attacks.,Coronary Angiography,A procedure using dye and X-rays to see if any arteries supplying your heart are blocked or narrowed.,CT Coronary Angiography,A detailed CT scan that creates 3D images of the arteries around your heart to detect blockages.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.
